"year";"orgnr";"var";"denominator";"ind_id"
2015;974754118;178;185;"hoftebrudd_dekgrad_prim_brudd"
2016;974754118;198;205;"hoftebrudd_dekgrad_prim_brudd"
2017;974754118;175;180;"hoftebrudd_dekgrad_prim_brudd"
2018;974754118;179;180;"hoftebrudd_dekgrad_prim_brudd"
2008;974795361;138;177;"hoftebrudd_dekgrad_prim_brudd"
2009;974795361;152;171;"hoftebrudd_dekgrad_prim_brudd"
2010;974795361;131;145;"hoftebrudd_dekgrad_prim_brudd"
2011;974795361;158;170;"hoftebrudd_dekgrad_prim_brudd"
2012;974795361;189;202;"hoftebrudd_dekgrad_prim_brudd"
2013;974795361;166;200;"hoftebrudd_dekgrad_prim_brudd"
2014;974795361;163;186;"hoftebrudd_dekgrad_prim_brudd"
2015;974795361;157;186;"hoftebrudd_dekgrad_prim_brudd"
2016;974795361;205;218;"hoftebrudd_dekgrad_prim_brudd"
2017;974795361;170;182;"hoftebrudd_dekgrad_prim_brudd"
2018;974795361;186;193;"hoftebrudd_dekgrad_prim_brudd"
2008;974795396;77;85;"hoftebrudd_dekgrad_prim_brudd"
2010;974795396;58;65;"hoftebrudd_dekgrad_prim_brudd"
2011;974795396;56;62;"hoftebrudd_dekgrad_prim_brudd"
2012;974795396;45;49;"hoftebrudd_dekgrad_prim_brudd"
2013;974795396;37;47;"hoftebrudd_dekgrad_prim_brudd"
